"Timestamp","Just by signing up for this tournament I am not guaranteed to be a participant. I will not be required to pay the buy-in fee if I am not chosen in the draft to play on a team. I may be chosen as a team captain if I am one of the highest ranked players signed up. I may be chosen for the lower bracket. I will honor the results of the draft regardless of its outcome.","Please provide your steam profile url. If you're not sure how to find this, here is a guide: https://support.ubisoft.com/en-gb/Article/000060565","You'll need to join the RoyaL Clan Tournaments discord server. This will be our primary platform for communication. Use this invite link if you're not already a member (https://discord.gg/KTnQmXPnAh) and provide your discord tag name below (Ex. Player#2453):","What is your time zone? Use this for a time zone converter: https://www.timeanddate.com/worldclock/converter","I am available throughout February and March to play at least one series per week scheduled with my team and an opponent.","AOE3 Player Rank (PR on legacy)?","AOE 3 DE Team ELO?","I certify that I have played at least 10 ranked team games on AoE3: Definitive Edition.","What are your 3 favorite Civs to play?","Optional message to the Team Captains. (Sell yourself on why you should be a team member)"
"2021/01/17 4:02:37 PM MST","I understand.","https://steamcommunity.com/profiles/76561198046384978/","don_artie#2656","UTC+01:00","Yes","32","2200","Yes","Japan;Portugal;Dutch",""
"2021/01/17 6:40:35 PM MST","I understand.","https://steamcommunity.com/profiles/76561198087087009/","GKShaman#1286","UTC-5:00","Yes","21","1600","Yes","India;Inca;Dutch",""
"2021/01/17 8:56:48 PM MST","I understand.","A_Singh","A_Singh","UTC-8:00","Yes","30","1950","Yes","Inca;Spain;Sweden",""
"2021/01/17 11:08:14 PM MST","I understand.","76561198093136395/home","Genesis","UTC-6:00","Yes","25","1800","Yes","India;British;Portugal;Dutch;Russia",""
"2021/01/17 11:30:04 PM MST","I understand.","https://steamcommunity.com/id/rachityadav/","Brochit#2264","UTC-9:00","Yes","Major","1569","Yes","India;Aztec;British",""
"2021/01/18 2:47:40 AM MST","I understand.","https://steamcommunity.com/profiles/76561198170745654/","Evoked#6176","UTC+11:00","Yes","1v1 900~ team 400~ didnt play legacy","1600","Yes","British;French;Sweden",""
"2021/01/18 4:49:02 AM MST","I understand.","https://steamcommunity.com/id/Aussie_Drongo/","Already a member","UTC+11:00","Yes","PR46","1931","Yes","Japan;Portugal;Sweden",""
"2021/01/18 6:21:13 AM MST","I understand.","https://steamcommunity.com/profiles/76561198989578080","Molibo13#9954","UTC+01:00","Yes","18","1364","Yes","India;Japan;Dutch",""
"2021/01/18 6:53:28 AM MST","I understand.","https://steamcommunity.com/profiles/76561198116499890/","HolyHandGrenade#9531","UTC+01:00","Yes","","1313","Yes","Portugal;Sweden;Dutch",""
"2021/01/18 7:37:48 AM MST","I understand.","76561198054653675","Guusjes4liv#2366","UTC+01:00","Yes","23","1739","Yes","Japan;Lakota;Portugal;Dutch",""
"2021/01/18 8:48:02 AM MST","I understand.","https://steamcommunity.com/profiles/76561198314618383/home","Nightwing_107#9338","UTC-3:30","Yes","PR20","1500","Yes","India;Japan;British",""
"2021/01/18 9:34:16 AM MST","I understand.","https://steamcommunity.com/profiles/76561198027870214/","Stanleo#9677","UTC+01:00","Yes","","1720","Yes","British;Germany;Dutch",""
"2021/01/18 10:11:50 AM MST","I understand.","76561198060671290","Kugelwilli#4652","UTC+01:00","Yes","25","1728","Yes","India;Sweden;Dutch",""
"2021/01/18 11:17:30 AM MST","I understand.","https://steamcommunity.com/id/EvilThre3/","Purple","UTC-00:00","Yes","25","1620","Yes","Japan;British;Russia",""
"2021/01/18 2:04:55 PM MST","I understand.","76561198880457769","Narida#6549","UTC+01:00","Yes","pr 27 TAD pr 32 Vanilla","currently 1953","Yes","British;French;Portugal",""
"2021/01/18 2:17:50 PM MST","I understand.","https://steamcommunity.com/id/Tripklopsis/","Tripklopsis#1920","UTC+2:00","Yes","15","1100 ","Yes","French;Sweden;Russia",""
"2021/01/18 4:24:02 PM MST","I understand.","76561198025551593","Jesus420#6320","UTC+01:00","Yes","","1337 (Not a troll)","Yes","India;Lakota;Dutch",""
"2021/01/18 6:05:01 PM MST","I understand.","https://steamcommunity.com/id/sudarshan85/","5242","UTC-5:00","Yes","1st Lieutenant","1637","Yes","India;Japan;Inca;British;French;Spain;Germany;Sweden;Dutch;Ottoman;Russia",""
"2021/01/18 6:41:05 PM MST","I understand.","https://steamcommunity.com/profiles/76561198053361462/home","antz_is_here#6963","UTC-6:00","Yes","31/32","2080","Yes","British;French;Dutch",""
"2021/01/19 3:57:13 PM MST","I understand.","76561198116492298","Black_Duck#6909","UTC-00:00","Yes","EP Captain 28","1724","Yes","British;Portugal;Sweden",""
"2021/01/19 6:38:29 PM MST","I understand.","https://steamcommunity.com/id/FitzBro/","FitzBro#9038","UTC-5:00","Yes","1550ish","1550ish","Yes","Lakota;Haudenosaunee;French",""
"2021/01/20 3:36:57 AM MST","I understand.","76561199098266500","EstiPesti 6900","UTC+2:00","Yes","","1279","Yes","British;Sweden;Russia",""
"2021/01/20 9:41:33 AM MST","I understand.","https://steamcommunity.com/profiles/76561198209587443/","Herbiemaster#1674","UTC+5:30","Yes","29 (major)","1970","Yes","British;French;Russia",""
"2021/01/20 10:04:14 AM MST","I understand.","76561198217328369","It's ok","UTC+01:00","Yes","Pr29","1920","Yes","India;British;French;Germany;Sweden",""
"2021/01/20 3:12:19 PM MST","I understand.","https://steamcommunity.com/profiles/76561198082710072/","Fluffydragon#7084","UTC+01:00","Yes","2nd luitenant, level 20 (if you mean vanilla, i didn't play alot of complete edition)","1328","Yes","Japan;British;Dutch",""
"2021/01/20 5:56:09 PM MST","I understand.","https://steamcommunity.com/id/Thomas_HG","ThomasFHG#5246","UTC-00:00","Yes","","1442","Yes","India;China;French;Dutch",""
"2021/01/21 4:53:07 AM MST","I understand.","https://steamcommunity.com/profiles/76561198052768044/","WickedCossack#1242","UTC-00:00","Yes","25","rank 1 motherfucker","Yes","India",""
"2021/01/21 5:22:07 PM MST","I understand.","https://steamcommunity.com/profiles/76561198058832179/","chompyyy#2229","UTC-5:00","Yes","1000","1000","Yes","Inca;Dutch;Ottoman",""
"2021/01/21 9:24:56 PM MST","I understand.","https://steamcommunity.com/id/Hiiver/","yES","UTC-5:00","Yes","2nd LT(lvl 21)","1522","Yes","British;French;Ottoman",""
"2021/01/22 4:26:49 AM MST","I understand.","im dan","im dan","UTC+11:00","Yes","between 0 and 25","1800 maybe?","Yes","Lakota;British;French;Portugal;Dutch;Russia",""
"2021/01/23 12:54:55 AM MST","I understand.","https://steamcommunity.com/profiles/76561198128420726/","Kyo_3z","UTC+6:00","Yes","30/31","2059","Yes","French;Germany;Dutch",""
"2021/01/23 5:36:08 AM MST","I understand.","https://steamcommunity.com/profiles/76561198149807296/","Kaiserklein#2520","UTC+01:00","Yes","47","N/A (played 0 rated team game so far)","Yes","French;Germany;Russia",""
"2021/01/23 8:11:04 PM MST","I understand.","https://steamcommunity.com/profiles/76561198114001903/edit/info","ggbyers #7732","UTC+8:00","Yes","21","21","Yes","China;Japan;Ottoman",""
"2021/01/24 7:00:33 AM MST","I understand.","https://steamcommunity.com/profiles/76561198013371997/home","Adjeking#3418","UTC+01:00","Yes","40+ back in the days (<2010)","1760","Yes","Japan;British;Spain",""
"2021/01/24 12:50:38 PM MST","I understand.","https://steamcommunity.com/profiles/76561198402026721/home","martin#5389","UTC+01:00","Yes","1415 DE Elo, PR 26 Legacy","1578","Yes","Lakota;British;French",""
"2021/01/24 1:30:09 PM MST","I understand.","https://steamcommunity.com/profiles/76561198044012905/","Knarloc(#8062)","UTC-5:00","Yes","26","1983","Yes","Japan;Inca;British",""
